ID;Raw_ADC;;;;;;;
13647;2101;;;;;;;
13667;2093;;;;;;;
13687;2097;;;;;;;
13707;2080;;;;;;;
13727;2096;;;;;;;
13747;2099;;;;;;;
13767;2098;;;;;;;
13787;2103;;;;;;;
13807;2094;;;;;;;
13827;2102;;;;;;;
13847;2098;;;;;;;
13867;2092;;;;;;;
13887;2083;;;;;;;
13907;2093;;;;;;;
13927;2095;;;;;;;
13947;2096;;;;;;;
13967;2100;;;;;;;
13987;2096;;;;;;;
14007;2095;;;;;;;
14027;2096;;;;;;;
14047;2099;;;;;;;
14067;2095;;;;;;;
14087;2093;;;;;;;
14107;2106;;;;;;;
14127;2093;;;;;;;
14147;2110;;;;;;;
14167;2080;;;;;;;
14187;2098;;;;;;;
14207;2102;;;;;;;
14227;2095;;;;;;;
14247;2086;;;;;;;
14267;2096;;;;;;;
14287;2093;;;;;;;
14307;2103;;;;;;;
14327;2082;;;;;;;
14347;2096;;;;;;;
14367;2103;;;;;;;
14387;2096;;;;;;;
14407;2095;;;;;;;
14427;2102;;;;;;;
14447;2096;;;;;;;
14467;2081;;;;;;;
14487;2087;;;;;;;
14507;2087;;;;;;;
14527;2110;;;;;;;
14547;2082;;;;;;;
14567;2097;;;;;;;
14587;2105;;;;;;;
14607;2086;;;;;;;
14627;2099;;;;;;;
14647;2090;;;;;;;
14667;2096;;;;;;;
14687;2095;;;;;;;
14707;2103;;;;;;;
14727;2106;;;;;;;
14747;2080;;;;;;;
14767;2095;;;;;;;
14787;2103;;;;;;;
14807;2096;;;;;;;
14827;2097;;;;;;;
14847;2097;;;;;;;
14867;2097;;;;;;;
14887;2102;;;;;;;
14907;2096;;;;;;;
14927;2096;;;;;;;
14947;2096;;;;;;;
14967;2087;;;;;;;
14987;2096;;;;;;;
15007;2096;;;;;;;
15027;2096;;;;;;;
15047;2103;;;;;;;
15067;2079;;;;;;;
15087;2089;;;;;;;
15107;2101;;;;;;;
15127;2094;;;;;;;
15147;2097;;;;;;;
15167;2095;;;;;;;
15187;2099;;;;;;;
15207;2099;;;;;;;
15227;2098;;;;;;;
15247;2096;;;;;;;
15267;2096;;;;;;;
15287;2098;;;;;;;
15307;2096;;;;;;;
15327;2095;;;;;;;
15347;2103;;;;;;;
15367;2091;;;;;;;
15387;2106;;;;;;;
15407;2099;;;;;;;
15427;2096;;;;;;;
15447;2091;;;;;;;
15467;2099;;;;;;;
15487;2101;;;;;;;
15507;2096;;;;;;;
15527;2083;;;;;;;
15547;2096;;;;;;;
15567;2090;;;;;;;
15587;2101;;;;;;;
15607;2095;;;;;;;
15627;2099;;;;;;;
15647;2095;;;;;;;
15667;2097;;;;;;;
15687;2100;;;;;;;
15707;2095;;;;;;;
15727;2096;;;;;;;
15747;2099;;;;;;;
15767;2099;;;;;;;
15787;2112;;;;;;;
15807;2107;;;;;;;
15827;2098;;;;;;;
15847;2105;;;;;;;
15867;2089;;;;;;;
15887;2089;;;;;;;
15907;2095;;;;;;;
15927;2090;;;;;;;
15947;2099;;;;;;;
15967;2093;;;;;;;
15987;2102;;;;;;;
16007;2106;;;;;;;
16027;2096;;;;;;;
16047;2099;;;;;;;
16067;2096;;;;;;;
16087;2103;;;;;;;
16107;2096;;;;;;;
16127;2086;;;;;;;
16147;2096;;;;;;;
16167;2086;;;;;;;
16187;2095;;;;;;;
16207;2096;;;;;;;
16227;2111;;;;;;;
16247;2097;;;;;;;
16267;2091;;;;;;;
16287;2096;;;;;;;
16307;2096;;;;;;;
16327;2096;;;;;;;
16347;2096;;;;;;;
16367;2097;;;;;;;
16387;2096;;;;;;;
16407;2095;;;;;;;
16427;2096;;;;;;;
16447;2091;;;;;;;
16467;2107;;;;;;;
16487;2091;;;;;;;
16507;2107;;;;;;;
16527;2097;;;;;;;
16547;2093;;;;;;;
16567;2096;;;;;;;
16587;2098;;;;;;;
16607;2108;;;;;;;
16627;2094;;;;;;;
16647;2096;;;;;;;
16667;2090;;;;;;;
16687;2096;;;;;;;
16707;2091;;;;;;;
16727;2112;;;;;;;
16747;2096;;;;;;;
16767;2102;;;;;;;
16787;2095;;;;;;;
16807;2112;;;;;;;
16827;2096;;;;;;;
16847;2090;;;;;;;
16867;2094;;;;;;;
16887;2091;;;;;;;
16907;2094;;;;;;;
16927;2097;;;;;;;
16947;2094;;;;;;;
16967;2102;;;;;;;
16987;2096;;;;;;;
17007;2089;;;;;;;
17027;2111;;;;;;;
17047;2085;;;;;;;
17067;2096;;;;;;;
17087;2097;;;;;;;
17107;2099;;;;;;;
17127;2086;;;;;;;
17147;2093;;;;;;;
17167;2095;;;;;;;
17187;2087;;;;;;;
17207;2099;;;;;;;
17227;2108;;;;;;;
17247;2098;;;;;;;
17267;2094;;;;;;;
17287;2091;;;;;;;
17307;2093;;;;;;;
17327;2096;;;;;;;
17347;2093;;;;;;;
17367;2087;;;;;;;
17387;2102;;;;;;;
17407;2100;;;;;;;
17427;2094;;;;;;;
17447;2103;;;;;;;
17467;2081;;;;;;;
17487;2098;;;;;;;
17507;2096;;;;;;;
17527;2098;;;;;;;
17547;2097;;;;;;;
17567;2106;;;;;;;
17587;2087;;;;;;;
17607;2096;;;;;;;
17627;2106;;;;;;;
17647;2096;;;;;;;
17667;2102;;;;;;;
17687;2108;;;;;;;
17707;2097;;;;;;;
17727;2109;;;;;;;
17747;2087;;;;;;;
17767;2091;;;;;;;
17787;2096;;;;;;;
17807;2099;;;;;;;
17827;2096;;;;;;;
17847;2096;;;;;;;
17867;2083;;;;;;;
17887;2095;;;;;;;
17907;2097;;;;;;;
17927;2103;;;;;;;
17947;2087;;;;;;;
17967;2096;;;;;;;
17987;2092;;;;;;;
18007;2091;;;;;;;
18027;2096;;;;;;;
18047;2096;;;;;;;
18067;2102;;;;;;;
18087;2095;;;;;;;
18107;2101;;;;;;;
18127;2099;;;;;;;
18147;2096;;;;;;;
18167;2110;;;;;;;
18187;2093;;;;;;;
18207;2093;;;;;;;
18227;2084;;;;;;;
18247;2091;;;;;;;
18267;2097;;;;;;;
18287;2094;;;;;;;
18307;2093;;;;;;;
18327;2091;;;;;;;
18347;2085;;;;;;;
18367;2102;;;;;;;
18387;2097;;;;;;;
18407;2098;;;;;;;
18427;2098;;;;;;;
18447;2096;;;;;;;
18467;2095;;;;;;;
18487;2090;;;;;;;
18507;2094;;;;;;;
18527;2096;;;;;;;
18547;2093;;;;;;;
18567;2096;;;;;;;
18587;2097;;;;;;;
18607;2098;;;;;;;
18627;2097;;;;;;;
18647;2099;;;;;;;
18667;2101;;;;;;;
18687;2098;;;;;;;
18707;2096;;;;;;;
18727;2103;;;;;;;
18747;2096;;;;;;;
18767;2096;;;;;;;
18787;2097;;;;;;;
18807;2092;;;;;;;
18827;2093;;;;;;;
18847;2095;;;;;;;
18867;2096;;;;;;;
18887;2104;;;;;;;
18907;2097;;;;;;;
18927;2107;;;;;;;
18947;2090;;;;;;;
18967;2093;;;;;;;
18987;2097;;;;;;;
19007;2094;;;;;;;
19027;2089;;;;;;;
19047;2098;;;;;;;
19067;2096;;;;;;;
19087;2099;;;;;;;
19107;2097;;;;;;;
19127;2098;;;;;;;
19147;2099;;;;;;;
19167;2090;;;;;;;
19187;2109;;;;;;;
19207;2086;;;;;;;
19227;2096;;;;;;;
19247;2089;;;;;;;
19267;2101;;;;;;;
19287;2096;;;;;;;
19307;2091;;;;;;;
19327;2101;;;;;;;
19347;2096;;;;;;;
19367;2096;;;;;;;
19387;2087;;;;;;;
19407;2082;;;;;;;
19427;2096;;;;;;;
19447;2097;;;;;;;
19467;2087;;;;;;;
19487;2091;;;;;;;
19507;2097;;;;;;;
19527;2096;;;;;;;
19547;2106;;;;;;;
19567;2096;;;;;;;
19587;2093;;;;;;;
19607;2095;;;;;;;
19627;2103;;;;;;;
19647;2096;;;;;;;
19667;2095;;;;;;;
19687;2110;;;;;;;
19707;2091;;;;;;;
19727;2099;;;;;;;
19747;2090;;;;;;;
19767;2096;;;;;;;
19787;2112;;;;;;;
19807;2100;;;;;;;
19827;2096;;;;;;;
19847;2096;;;;;;;
19867;2095;;;;;;;
19887;2096;;;;;;;
19907;2094;;;;;;;
19927;2095;;;;;;;
19947;2085;;;;;;;
19967;2095;;;;;;;
19987;2109;;;;;;;
20007;2090;;;;;;;
20027;2096;;;;;;;
20047;2099;;;;;;;
20067;2091;;;;;;;
20087;2099;;;;;;;
20107;2091;;;;;;;
20127;2099;;;;;;;
20147;2091;;;;;;;
20167;2096;;;;;;;
20187;2096;;;;;;;
20207;2090;;;;;;;
20227;2094;;;;;;;
20247;2090;;;;;;;
20267;2096;;;;;;;
20287;2090;;;;;;;
20307;2085;;;;;;;
20327;2093;;;;;;;
20347;2094;;;;;;;
20367;2096;;;;;;;
20387;2093;;;;;;;
20407;2096;;;;;;;
20427;2096;;;;;;;
20447;2109;;;;;;;
20467;2096;;;;;;;
20487;2085;;;;;;;
20507;2102;;;;;;;
20527;2101;;;;;;;
20547;2090;;;;;;;
20567;2106;;;;;;;
20587;2107;;;;;;;
20607;2093;;;;;;;
20627;2086;;;;;;;
20647;2101;;;;;;;
20667;2098;;;;;;;
20687;2095;;;;;;;
20707;2091;;;;;;;
20727;2087;;;;;;;
20747;2106;;;;;;;
20767;2094;;;;;;;
20787;2093;;;;;;;
20807;2105;;;;;;;
20827;2091;;;;;;;
20847;2087;;;;;;;
20867;2106;;;;;;;
20887;2100;;;;;;;
20907;2105;;;;;;;
20927;2110;;;;;;;
20947;2098;;;;;;;
20967;2094;;;;;;;
20987;2091;;;;;;;
21007;2092;;;;;;;
21027;2094;;;;;;;
21047;2097;;;;;;;
21067;2098;;;;;;;
21087;2096;;;;;;;
21107;2095;;;;;;;
21127;2099;;;;;;;
21147;2102;;;;;;;
21167;2093;;;;;;;
21187;2092;;;;;;;
21207;2103;;;;;;;
21227;2102;;;;;;;
21247;2096;;;;;;;
21267;2109;;;;;;;
21287;2091;;;;;;;
21307;2096;;;;;;;
21327;2098;;;;;;;
21347;2105;;;;;;;
21367;2098;;;;;;;
21387;2094;;;;;;;
21407;2100;;;;;;;
21427;2101;;;;;;;
21447;2096;;;;;;;
21467;2097;;;;;;;
21487;2097;;;;;;;
21507;2096;;;;;;;
21527;2096;;;;;;;
21547;2101;;;;;;;
21567;2096;;;;;;;
21587;2105;;;;;;;
21607;2093;;;;;;;
21627;2099;;;;;;;
21647;2090;;;;;;;
21667;2083;;;;;;;
21687;2105;;;;;;;
